SYMBOL,Industry
3MINDIA,SERVICES
8KMILES,IT
ABB,INDUSTRIAL MANUFACTURING
ACC,CEMENT & CEMENT PRODUCTS
AIAENG,INDUSTRIAL MANUFACTURING
APLAPOLLO,METALS
AUBANK,FINANCIAL SERVICES
AARTIIND,CHEMICALS
ADANIPORTS,SERVICES
ADANIPOWER,ENERGY
ADANITRANS,ENERGY
ABCAPITAL,FINANCIAL SERVICES
ABFRL,CONSUMER GOODS
ADVENZYMES,CONSUMER GOODS
AEGISCHEM,ENERGY
AJANTPHARM,PHARMA
AKZOINDIA,CONSUMER GOODS
APLLTD,PHARMA
ALKEM,PHARMA
ALBK,FINANCIAL SERVICES
ALLCARGO,SERVICES
AMARAJABAT,AUTOMOBILE
AMBUJACEM,CEMENT & CEMENT PRODUCTS
ANDHRABANK,FINANCIAL SERVICES
APOLLOHOSP,HEALTHCARE SERVICES
APOLLOTYRE,AUTOMOBILE
ASHOKLEY,AUTOMOBILE
ASHOKA,CONSTRUCTION
ASIANPAINT,CONSUMER GOODS
ASTERDM,HEALTHCARE SERVICES
ASTRAL,INDUSTRIAL MANUFACTURING
ATUL,CHEMICALS
AUROPHARMA,PHARMA
AVANTIFEED,CONSUMER GOODS
DMART,CONSUMER GOODS
AXISBANK,FINANCIAL SERVICES
BASF,CHEMICALS
BEML,INDUSTRIAL MANUFACTURING
BSE,FINANCIAL SERVICES
BAJAJ-AUTO,AUTOMOBILE
BAJAJCORP,CONSUMER GOODS
BAJAJELEC,CONSUMER GOODS
BAJFINANCE,FINANCIAL SERVICES
BAJAJFINSV,FINANCIAL SERVICES
BAJAJHLDNG,FINANCIAL SERVICES
BALKRISIND,AUTOMOBILE
BALMLAWRIE,SERVICES
BALRAMCHIN,CONSUMER GOODS
BANDHANBNK,FINANCIAL SERVICES
BANKBARODA,FINANCIAL SERVICES
BANKINDIA,FINANCIAL SERVICES
BATAINDIA,CONSUMER GOODS
BERGEPAINT,CONSUMER GOODS
BDL,INDUSTRIAL MANUFACTURING
BEL,INDUSTRIAL MANUFACTURING
BHARATFIN,FINANCIAL SERVICES
BHARATFORG,INDUSTRIAL MANUFACTURING
BHEL,INDUSTRIAL MANUFACTURING
BPCL,ENERGY
BHARTIARTL,TELECOM
INFRATEL,TELECOM
BIOCON,PHARMA
BIRLACORPN,CEMENT & CEMENT PRODUCTS
BLISSGVS,PHARMA
BLUEDART,SERVICES
BLUESTARCO,CONSUMER GOODS
BBTC,CONSUMER GOODS
BOMDYEING,TEXTILES
BOSCHLTD,AUTOMOBILE
BRIGADE,CONSTRUCTION
BRITANNIA,CONSUMER GOODS
CARERATING,FINANCIAL SERVICES
CCL,CONSUMER GOODS
CGPOWER,INDUSTRIAL MANUFACTURING
CRISIL,FINANCIAL SERVICES
CADILAHC,PHARMA
CANFINHOME,FINANCIAL SERVICES
CANBK,FINANCIAL SERVICES
CAPF,FINANCIAL SERVICES
CAPLIPOINT,PHARMA
CARBORUNIV,INDUSTRIAL MANUFACTURING
CASTROLIND,ENERGY
CEATLTD,AUTOMOBILE
CENTRALBK,FINANCIAL SERVICES
CDSL,FINANCIAL SERVICES
CENTURYPLY,CONSUMER GOODS
CENTURYTEX,CEMENT & CEMENT PRODUCTS
CERA,CONSTRUCTION
CHAMBLFERT,FERTILISERS & PESTICIDES
CHENNPETRO,ENERGY
CHOLAFIN,FINANCIAL SERVICES
CIPLA,PHARMA
CUB,FINANCIAL SERVICES
COALINDIA,METALS
COCHINSHIP,INDUSTRIAL MANUFACTURING
COFFEEDAY,CONSUMER GOODS
COLPAL,CONSUMER GOODS
CONCOR,SERVICES
COROMANDEL,FERTILISERS & PESTICIDES
CROMPTON,CONSUMER GOODS
CUMMINSIND,INDUSTRIAL MANUFACTURING
CYIENT,IT
DBCORP,MEDIA & ENTERTAINMENT
DCBBANK,FINANCIAL SERVICES
DCMSHRIRAM,CONSUMER GOODS
DLF,CONSTRUCTION
DABUR,CONSUMER GOODS
DEEPAKFERT,CHEMICALS
DELTACORP,SERVICES
DEN,MEDIA & ENTERTAINMENT
DENABANK,FINANCIAL SERVICES
DHFL,FINANCIAL SERVICES
DBL,CONSTRUCTION
DISHTV,MEDIA & ENTERTAINMENT
DCAL,PHARMA
DIVISLAB,PHARMA
DIXON,CONSUMER GOODS
LALPATHLAB,HEALTHCARE SERVICES
DRREDDY,PHARMA
DREDGECORP,SERVICES
EIDPARRY,FERTILISERS & PESTICIDES
EIHOTEL,SERVICES
EDELWEISS,FINANCIAL SERVICES
EICHERMOT,AUTOMOBILE
ELGIEQUIP,INDUSTRIAL MANUFACTURING
EMAMILTD,CONSUMER GOODS
ENDURANCE,AUTOMOBILE
ENGINERSIN,CONSTRUCTION
EQUITAS,FINANCIAL SERVICES
ERIS,PHARMA
EROSMEDIA,MEDIA & ENTERTAINMENT
ESCORTS,AUTOMOBILE
EVEREADY,CONSUMER GOODS
EXCELCROP,FERTILISERS & PESTICIDES
EXIDEIND,AUTOMOBILE
FDC,PHARMA
FEDERALBNK,FINANCIAL SERVICES
FINCABLES,INDUSTRIAL MANUFACTURING
FINPIPE,INDUSTRIAL MANUFACTURING
FSL,IT
FCONSUMER,CONSUMER GOODS
FLFL,CONSUMER GOODS
FRETAIL,CONSUMER GOODS
GAIL,ENERGY
GEPIL,INDUSTRIAL MANUFACTURING
GET&D,INDUSTRIAL MANUFACTURING
GHCL,CHEMICALS
GMRINFRA,CONSTRUCTION
GVKPIL,CONSTRUCTION
GALAXYSURF,CHEMICALS
GDL,SERVICES
GAYAPROJ,CONSTRUCTION
GICRE,FINANCIAL SERVICES
GILLETTE,CONSUMER GOODS
GSKCONS,CONSUMER GOODS
GLAXO,PHARMA
GLENMARK,PHARMA
GODFRYPHLP,CONSUMER GOODS
GODREJAGRO,CONSUMER GOODS
GODREJCP,CONSUMER GOODS
GODREJIND,CONSUMER GOODS
GODREJPROP,CONSTRUCTION
GRANULES,PHARMA
GRAPHITE,INDUSTRIAL MANUFACTURING
GRASIM,CEMENT & CEMENT PRODUCTS
GESHIP,SERVICES
GREAVESCOT,INDUSTRIAL MANUFACTURING
GREENPLY,CONSUMER GOODS
GRINDWELL,INDUSTRIAL MANUFACTURING
GRUH,FINANCIAL SERVICES
GUJALKALI,CHEMICALS
GUJFLUORO,INDUSTRIAL MANUFACTURING
GUJGASLTD,ENERGY
GMDCLTD,METALS
GNFC,CHEMICALS
GPPL,SERVICES
GSFC,FERTILISERS & PESTICIDES
GSPL,ENERGY
GULFOILLUB,ENERGY
HEG,INDUSTRIAL MANUFACTURING
HCL-INSYS,IT
HCLTECH,IT
HDFCBANK,FINANCIAL SERVICES
HDFCLIFE,FINANCIAL SERVICES
HSIL,CONSUMER GOODS
HATHWAY,MEDIA & ENTERTAINMENT
HATSUN,CONSUMER GOODS
HAVELLS,CONSUMER GOODS
HEIDELBERG,CEMENT & CEMENT PRODUCTS
HERITGFOOD,CONSUMER GOODS
HEROMOTOCO,AUTOMOBILE
HEXAWARE,IT
HFCL,TELECOM
HSCL,CHEMICALS
HIMATSEIDE,TEXTILES
HINDALCO,METALS
HAL,INDUSTRIAL MANUFACTURING
HCC,CONSTRUCTION
HINDCOPPER,METALS
HINDPETRO,ENERGY
HINDUNILVR,CONSUMER GOODS
HINDZINC,METALS
HONAUT,INDUSTRIAL MANUFACTURING
HUDCO,FINANCIAL SERVICES
HDFC,FINANCIAL SERVICES
ITC,CONSUMER GOODS
ICICIBANK,FINANCIAL SERVICES
ICICIGI,FINANCIAL SERVICES
ICICIPRULI,FINANCIAL SERVICES
ISEC,FINANCIAL SERVICES
IDBI,FINANCIAL SERVICES
IDFCBANK,FINANCIAL SERVICES
IDFC,FINANCIAL SERVICES
IFBIND,CONSUMER GOODS
IFCI,FINANCIAL SERVICES
IIFL,FINANCIAL SERVICES
IL&FSTRANS,CONSTRUCTION
IRB,CONSTRUCTION
ITDCEM,CONSTRUCTION
ITI,TELECOM
INDIACEM,CEMENT & CEMENT PRODUCTS
ITDC,SERVICES
IBULHSGFIN,FINANCIAL SERVICES
IBREALEST,CONSTRUCTION
IBVENTURES,FINANCIAL SERVICES
INDIANB,FINANCIAL SERVICES
IEX,FINANCIAL SERVICES
INDHOTEL,SERVICES
IOC,ENERGY
IOB,FINANCIAL SERVICES
ICIL,TEXTILES
INDOCO,PHARMA
IGL,ENERGY
INDUSINDBK,FINANCIAL SERVICES
INFIBEAM,IT
NAUKRI,IT
INFY,IT
INOXLEISUR,MEDIA & ENTERTAINMENT
INOXWIND,INDUSTRIAL MANUFACTURING
INTELLECT,IT
INDIGO,SERVICES
IPCALAB,PHARMA
JBCHEPHARM,PHARMA
JKCEMENT,CEMENT & CEMENT PRODUCTS
JKIL,CONSTRUCTION
JKLAKSHMI,CEMENT & CEMENT PRODUCTS
JKTYRE,AUTOMOBILE
JMFINANCIL,FINANCIAL SERVICES
JSWENERGY,ENERGY
JSWSTEEL,METALS
JAGRAN,MEDIA & ENTERTAINMENT
JAICORPLTD,INDUSTRIAL MANUFACTURING
JISLJALEQS,INDUSTRIAL MANUFACTURING
JPASSOCIAT,CEMENT & CEMENT PRODUCTS
JPPOWER,ENERGY
J&KBANK,FINANCIAL SERVICES
JETAIRWAYS,SERVICES
JINDALSAW,METALS
JSLHISAR,METALS
JSL,METALS
JINDALSTEL,METALS
JCHAC,CONSUMER GOODS
JUBLFOOD,CONSUMER GOODS
JUBILANT,PHARMA
JUSTDIAL,IT
JYOTHYLAB,CONSUMER GOODS
KPRMILL,TEXTILES
KIOCL,METALS
KNRCON,CONSTRUCTION
KRBL,CONSUMER GOODS
KAJARIACER,CONSTRUCTION
KALPATPOWR,ENERGY
KANSAINER,CONSUMER GOODS
KTKBANK,FINANCIAL SERVICES
KARURVYSYA,FINANCIAL SERVICES
KSCL,CONSUMER GOODS
KEC,CONSTRUCTION
KOLTEPATIL,CONSTRUCTION
KOTAKBANK,FINANCIAL SERVICES
L&TFH,FINANCIAL SERVICES
LTTS,IT
LICHSGFIN,FINANCIAL SERVICES
LAXMIMACH,INDUSTRIAL MANUFACTURING
LAKSHVILAS,FINANCIAL SERVICES
LTI,IT
LT,CONSTRUCTION
LAURUSLABS,PHARMA
LEMONTREE,SERVICES
LINDEINDIA,CHEMICALS
LUPIN,PHARMA
LUXIND,TEXTILES
MASFIN,FINANCIAL SERVICES
MMTC,SERVICES
MOIL,METALS
MRF,AUTOMOBILE
MAGMA,FINANCIAL SERVICES
MGL,ENERGY
M&MFIN,FINANCIAL SERVICES
M&M,AUTOMOBILE
MAHINDCIE,INDUSTRIAL MANUFACTURING
MHRIL,SERVICES
MAHLOG,SERVICES
MANAPPURAM,FINANCIAL SERVICES
MRPL,ENERGY
MANPASAND,CONSUMER GOODS
MARICO,CONSUMER GOODS
MARUTI,AUTOMOBILE
MFSL,FINANCIAL SERVICES
MAXINDIA,HEALTHCARE SERVICES
MCLEODRUSS,CONSUMER GOODS
MERCK,PHARMA
MINDTREE,IT
MINDACORP,AUTOMOBILE
MINDAIND,AUTOMOBILE
MONSANTO,FERTILISERS & PESTICIDES
MOTHERSUMI,AUTOMOBILE
MOTILALOFS,FINANCIAL SERVICES
MPHASIS,IT
MUTHOOTFIN,FINANCIAL SERVICES
NATCOPHARM,PHARMA
NBCC,CONSTRUCTION
NCC,CONSTRUCTION
NESCO,SERVICES
NHPC,ENERGY
NIITTECH,IT
NLCINDIA,ENERGY
NMDC,METALS
NTPC,ENERGY
NH,HEALTHCARE SERVICES
NATIONALUM,METALS
NFL,FERTILISERS & PESTICIDES
NBVENTURES,ENERGY
NAVINFLUOR,CHEMICALS
NAVKARCORP,SERVICES
NETWORK18,MEDIA & ENTERTAINMENT
NILKAMAL,INDUSTRIAL MANUFACTURING
OBEROIRLTY,CONSTRUCTION
ONGC,ENERGY
OIL,ENERGY
OMAXE,CONSTRUCTION
OFSS,IT
ORIENTCEM,CEMENT & CEMENT PRODUCTS
ORIENTBANK,FINANCIAL SERVICES
PCJEWELLER,CONSUMER GOODS
PIIND,FERTILISERS & PESTICIDES
PNBHOUSING,FINANCIAL SERVICES
PNCINFRA,CONSTRUCTION
PFS,FINANCIAL SERVICES
PTC,ENERGY
PVR,MEDIA & ENTERTAINMENT
PAGEIND,TEXTILES
PARAGMILK,CONSUMER GOODS
PERSISTENT,IT
PETRONET,ENERGY
PFIZER,PHARMA
PHILIPCARB,CHEMICALS
PHOENIXLTD,CONSTRUCTION
PIDILITIND,CHEMICALS
PEL,PHARMA
PFC,FINANCIAL SERVICES
POWERGRID,ENERGY
PRAJIND,INDUSTRIAL MANUFACTURING
PRESTIGE,CONSTRUCTION
PRSMJOHNSN,CEMENT & CEMENT PRODUCTS
PGHH,CONSUMER GOODS
PNB,FINANCIAL SERVICES
QUESS,SERVICES
RBLBANK,FINANCIAL SERVICES
RADICO,CONSUMER GOODS
RAIN,CHEMICALS
RAJESHEXPO,CONSUMER GOODS
RALLIS,FERTILISERS & PESTICIDES
RKFORGE,INDUSTRIAL MANUFACTURING
RCF,FERTILISERS & PESTICIDES
RAYMOND,TEXTILES
REDINGTON,SERVICES
RELAXO,CONSUMER GOODS
RELCAPITAL,FINANCIAL SERVICES
RCOM,TELECOM
RHFL,FINANCIAL SERVICES
RELIANCE,ENERGY
RELINFRA,ENERGY
RNAVAL,INDUSTRIAL MANUFACTURING
RNAM,FINANCIAL SERVICES
RPOWER,ENERGY
REPCOHOME,FINANCIAL SERVICES
RUPA,TEXTILES
RECLTD,FINANCIAL SERVICES
SHK,CONSUMER GOODS
SBILIFE,FINANCIAL SERVICES
SJVN,ENERGY
SKFINDIA,INDUSTRIAL MANUFACTURING
SREINFRA,FINANCIAL SERVICES
SRF,TEXTILES
SADBHAV,CONSTRUCTION
SADBHIN,CONSTRUCTION
SANOFI,PHARMA
SCHAEFFLER,INDUSTRIAL MANUFACTURING
SIS,SERVICES
SHANKARA,METALS
SHILPAMED,PHARMA
SCI,SERVICES
SHOPERSTOP,CONSUMER GOODS
SHREECEM,CEMENT & CEMENT PRODUCTS
RENUKA,CONSUMER GOODS
SHRIRAMCIT,FINANCIAL SERVICES
SRTRANSFIN,FINANCIAL SERVICES
SIEMENS,INDUSTRIAL MANUFACTURING
SPTL,INDUSTRIAL MANUFACTURING
SOBHA,CONSTRUCTION
SOLARINDS,CHEMICALS
SONATSOFTW,IT
SOUTHBANK,FINANCIAL SERVICES
STARCEMENT,CEMENT & CEMENT PRODUCTS
SBIN,FINANCIAL SERVICES
SAIL,METALS
STRTECH,TELECOM
STAR,PHARMA
SUDARSCHEM,CHEMICALS
SPARC,PHARMA
SUNPHARMA,PHARMA
SUNTV,MEDIA & ENTERTAINMENT
SUNDARMFIN,FINANCIAL SERVICES
SUNDRMFAST,AUTOMOBILE
SUNTECK,CONSTRUCTION
SUPREMEIND,INDUSTRIAL MANUFACTURING
SUVEN,PHARMA
SUZLON,INDUSTRIAL MANUFACTURING
SWANENERGY,TEXTILES
SYMPHONY,CONSUMER GOODS
SYNDIBANK,FINANCIAL SERVICES
SYNGENE,PHARMA
TIFIN,FINANCIAL SERVICES
TTKPRESTIG,CONSUMER GOODS
TVTODAY,MEDIA & ENTERTAINMENT
TV18BRDCST,MEDIA & ENTERTAINMENT
TVSMOTOR,AUTOMOBILE
TVSSRICHAK,AUTOMOBILE
TAKE,IT
TNPL,PAPER
TATACHEM,CHEMICALS
TATACOFFEE,CONSUMER GOODS
TCS,IT
TATAELXSI,IT
TATAGLOBAL,CONSUMER GOODS
TATAINVEST,FINANCIAL SERVICES
TATAMTRDVR,AUTOMOBILE
TATAMOTORS,AUTOMOBILE
TATAPOWER,ENERGY
TATASPONGE,METALS
TATASTEEL,METALS
TEAMLEASE,SERVICES
TECHM,IT
TEXRAIL,INDUSTRIAL MANUFACTURING
NIACL,FINANCIAL SERVICES
RAMCOCEM,CEMENT & CEMENT PRODUCTS
THERMAX,INDUSTRIAL MANUFACTURING
THOMASCOOK,SERVICES
THYROCARE,HEALTHCARE SERVICES
TIMETECHNO,INDUSTRIAL MANUFACTURING
TIMKEN,INDUSTRIAL MANUFACTURING
TITAN,CONSUMER GOODS
TORNTPHARM,PHARMA
TORNTPOWER,ENERGY
TRENT,CONSUMER GOODS
TRIDENT,TEXTILES
TIINDIA,AUTOMOBILE
UCOBANK,FINANCIAL SERVICES
UFLEX,INDUSTRIAL MANUFACTURING
UPL,FERTILISERS & PESTICIDES
UJJIVAN,FINANCIAL SERVICES
ULTRACEMCO,CEMENT & CEMENT PRODUCTS
UNICHEMLAB,PHARMA
UNIONBANK,FINANCIAL SERVICES
UBL,CONSUMER GOODS
MCDOWELL-N,CONSUMER GOODS
VGUARD,INDUSTRIAL MANUFACTURING
VMART,CONSUMER GOODS
VIPIND,CONSUMER GOODS
VRLLOG,SERVICES
WABAG,SERVICES
VAKRANGEE,IT
VTL,TEXTILES
VBL,CONSUMER GOODS
VEDL,METALS
VENKEYS,CONSUMER GOODS
VIJAYABANK,FINANCIAL SERVICES
VINATIORGA,CHEMICALS
IDEA,TELECOM
VOLTAS,CONSTRUCTION
WABCOINDIA,AUTOMOBILE
WELCORP,METALS
WELSPUNIND,TEXTILES
WHIRLPOOL,CONSUMER GOODS
WIPRO,IT
WOCKPHARMA,PHARMA
YESBANK,FINANCIAL SERVICES
ZEEL,MEDIA & ENTERTAINMENT
ZENSARTECH,IT
ZYDUSWELL,CONSUMER GOODS
ECLERX,IT
